Commit message,Class
SB-674 Sort out issue during testing where OrientDb exits the JVM when it runs out of ports to open,nonSAR
Reload and document,nonSAR
CAY-926 Refactoring class generator classes,SAR
refactoring (changed package name to guru.drinkit  fileNames),SAR
Fix style issues and refactor some code.,SAR
core: Refactor of setting disk attributes.,SAR
Refactoring of packages,SAR
config refactoring  add new config properties for kod device,SAR
Minor refactorings required for the perf project,SAR
refactored count and constructor to querydsl-hibernate made HqlSerializer use String.format templates instead of operator string + operator position,SAR
Some refactoring and compressing of data before sending,SAR
Refactoring: moving classes to appropriate packages,SAR
Refactor export  add CSV Links export and add other changes on DAO and DbIterator,SAR
Small refactoring But DataSnaphshot were it belongs,SAR
use List in Argument model. minor refactoring,SAR
Refactor - more consistent naming of actions,SAR
Small refactoring in load profile. Corrected bug that was considering millisecons as seconds,SAR
refactored test classes and service extenstion as well,SAR
#694 - Refactor - Rename IdGenerator to PlatformIdGenerator ... with a view to support customer Id generators,SAR
Refactored some of the injection point metadata bean code.,SAR
Refactor filefilter directory to remove dependency on lang,SAR
did not like the fact that the method was getting big; refactored my logic to a private method to increase readability,SAR
[Refactoring] Tests refactoring for taking into account the new infrastructure based on Restlet + JAX-RS + JAXB,SAR
Refactor TmfTrace and dependencies - minor changes,SAR
refactored code to get Groovy dependency from project dependencies,SAR
refactored data layer project structure,SAR
Refactor Periods to increase coverage,SAR
General cleanup and refactoring.,SAR
Refactoring: adding better service/finder methods  removing code from REST endpoint,SAR
Code maintenance for refactoring by Emanuel Graf  bug 234348.,SAR
refactored and cleaned up stmt builder interfaces,SAR
Refactor code  put current distro manager into default plugin,SAR
Refactor the strutter again to something that makes more sense,SAR
lots of refactoring. Made Traverse step able to do in/out patterns. Added self loop filering.,SAR
major refactoring and bugs corrections in the logic of type inference and type reification,SAR
Removed unused methods  moved startup page code to RWTStartupPageCreator - bug 340927: Cleanup and refactor HtmlResponseWriter https://bugs.eclipse.org/bugs/show_bug.cgi?id=340927,SAR
Refactored service registry package structure and class visibilities to prepare central service registry instance caching and sharing,SAR
Refactored to use annotations instead of inheritance.,SAR
Refactor and add more core UI utilities,SAR
Refactored to make sendRequest readable,SAR
Refactor unit tests because of refactoring of Interfaces,SAR
KERN-1720 Refactored finder tests to enable non better control over non comliant drivers (memory and cassandra). Modified the setup of the test to ensure that if the tests fail in batch they also fail when run alone.,SAR
Refactoring of JML test execution functionality,SAR
Refactor daysUntil to allow more control for exit condition,SAR
model code refactory,SAR
"AMEC-1943  AMEC-1877 refractored the code to display the correction article citation in the article correction box the refactoring affects the ""download citation"" page as well",SAR
refactoring and cleanup,SAR
extract delete tag refactoring into a reusable static method,SAR
#586 - Refactor the UUID ScalarTypes (Native  Varchar and Binary) to have a common base,SAR
New feature: added the QUC Coordinator report and results view - refactored existing renderers - create a new class for the global comments on UC (and it's prepared for the comments on the teachers),SAR
Refactor: Moved packages to comply with the backend package name conventions.   * p.i.ff.pstm -> p.i.ff.b.j.pstm   * OJB related classes moved to p.i.ff.b.j.ojb   * dml.runtime moved to the backend package   * Code Generators moved to p.i.ff.b.j.codeGenerator   * DB related classes moved to p.i.ff.b.j.repository,SAR
UI refactoring  changes and fixes,SAR
Hide jobid column on startup,nonSAR
Cleaned up integration test for Seam Security,nonSAR
[#4151] FOR UPDATE .. OF doesn't allow qualified column names,nonSAR
MNG-5639: Support resolution of Import Scope POMs from Repo that contains a ${parameter},nonSAR
Switching machines.,nonSAR
FUSETOOLS-2038 - do not allow Route to be dropped on a route (#633),nonSAR
That's right  plugin.yml  who needs you for commands? Too much effort.,nonSAR
Implemented Version description,nonSAR
flog support for rubyMetrics almost complete,nonSAR
Make class name depending of the filename.,nonSAR
PHP scanners: test files updated,nonSAR
Completed processing of array construction.,nonSAR
Writing memory now uses wait() notify(). Report mode now starts automatically.,nonSAR
Android app terug werkend,nonSAR
Upgrade to clear text support,nonSAR
PLFED-129: make STSClient configurable and make private instance var protected,nonSAR
JAAS login integrated in Questionnaires UI,nonSAR
Start work on customized ObjectReader  CsvObjectReader  to support better error handling,nonSAR
dependency tree flattened  no dependencies recursively amongs java DU. Excluded maven dependencies are now ignored,nonSAR
Support a feature of distinct value on data set rorw.,nonSAR
Reports display elements sorted by name,nonSAR
updating prov-sql to QualifiedName,nonSAR
tmf: Support folders in package import,nonSAR
Finished trend graph portlets.,nonSAR
1 use 443 to connect xapi 2. update Java binding to xenserver-5.6.100-1.jar,nonSAR
Brought back the stupidly large test.,nonSAR
RF# group roles validation,nonSAR
* better use of PacketHandlers,nonSAR
HSEARCH-2139 Avoiding superfluous field initializations and repeated looping,nonSAR
481006 - SSL requests intermittently fail with EOFException when SSL renegotiation is disallowed.,nonSAR
Supported more question types,nonSAR
implemented SeparatedClassLoader,nonSAR
updated alignment.Link types  according to v3 proposal,nonSAR
Rewrote getClassKey() with more transparent logic.,nonSAR
PRD-4652: Actively managing repaint offers nearly 60FPS,nonSAR
Trades History working,nonSAR
Bug 298671 Implement enough compatibility to bring up a simple view,nonSAR
Start with testing activiti 5 unit tests with activiti 6 engine for backwards compatibility,nonSAR
TOMEE-1832 avoid useless locking in dbcp2 + TOMEE-1833 ExceptionSelector to activate or not failover,nonSAR
[PLAT-3015] Update OG-MasterDB to ThreeTen,nonSAR
Done GSA-515 Nanoscheduler / GSA-557 V3 nanoScheduler algorithm,nonSAR
[JBIDE-19048] implementing connection wizard(s),nonSAR
Update content APIs,nonSAR
ItEr23S03ContornaItEr22S03: Doing defensive copy of array parameters,nonSAR
Updater: hide Dropbox URL handling behind Util methods,nonSAR
can access other user's public bubbles,nonSAR
NXP-2330  NXP-2319: Don't copy history when copying a document,nonSAR
FUSETOOLS-1981 - Integrate CXF Code First Templates (#653),nonSAR
Abstract Inventories & Inventory Components.,nonSAR
Test for the toString part of JAXEN-160,nonSAR
further refactoring; experiment.save() method; fixed DataReleaseService,SAR
small refactoring of the Unity3dBUilder,SAR
Sample refactoring  moved the event and command classes to the api package,SAR
Refactor - tidy up - better error responses,SAR
refactoring for Gipps  Krauss and Newell: model parameter dt is now taken directly from the simulation update timestep which is fix for one simulation,SAR
Refactoring of query parsing creating new OSQLTarget class to get the target. Now it's cleaner and parses correctly nested contexts. Contexts now are structured as a tree.,SAR
Refactorings  mainly package renames. Example code.,SAR
Delete duplicate AllTest.java file and refactor abtest package name,SAR
Finish refactoring the config to be a single hash instead of a large collection of classes,SAR
Project refactored: package changed from net.pbernard.flattr to com.flattr4android,SAR
Feature #5157 - refactoring of album view page (adding some string templates) (modifying homepage) (modifying the view of a photo) (fixing search result display problems),SAR
further unit test refactoring,SAR
Refactored and improved loading of inventories and item schemata,SAR
Refactoring  import bug fixed.,SAR
Refactored package names,SAR
Refactor to clearly delineate generated and custom code in case we need to re-generate due to database changes,SAR
Refactor using standard interfaces,SAR
Refactor into packages,SAR
refactoring + clean code,SAR
Refactor to create primitive package,SAR
Refactor to improve readability of comparisons,SAR
Refactoring to tidy up resolving and combine object factory and manager - complete - released to DSFA 14/7/05,SAR
[TEST] Refactored package name - moved all tests from “org.pentaho.test.platform” to “org.pentaho.platform”,SAR
XWIKI-4619: Refactor rendering submodules to sort by syntax instead of by parser/renderer,SAR
Refactored case handling packages,SAR
refactored base test classes for our own internal test suite,SAR
Refactored packages  updated Update and Stop form handlers.,SAR
Refactor code for clarity,SAR
Refactor demos for readability  better comments and configuration,SAR
[SHRINKWRAP-263] Refactor methods name from addDirectory to addAsDirectory and addDirectories to addAsDirectories,SAR
Refactoring/cleaning up some things in preperations for the delta-importer-2 over http integration. In particular:   * generalizing the notion of the control file   * restructuring code to have a publishers directory   * getting rid of the metadata utility which was largely duplicated code   * getting rid of the integration utility which was an odd mix of util functions basically   * made a utils file to temporarily store odd util functions,SAR
major refactoring of BootstrapDeployer,SAR
package structure refactored,SAR
refactorings & cleaning,SAR
Refactored and improved performance of validator generator,SAR
Refactored config distribution in parts of HA. Made unfinished transaction cleanup threshold use client lock timeout (as resolved by HaConfig).,SAR
Refactor tests  test switching in class as well.,SAR
Refactoring some admin functions to remove code we dont need anymore,SAR
refactoring: moved duplicated code to prepare sources and classes directory to AbstractModelloJavaGeneratorTest,SAR
refactoring prior to introduce better modifier support,SAR
Refactor how entity skins are set Remove entity manager Update EntityInformation as needed Expose API to set entity skins,SAR
refactored  moved common subclass methods to upper class,SAR
Refactor package name to reflect the 'eduzen' origin.,SAR
Refactoring to support new test cases in localdiscovery (new) test bundle,SAR
Lots of cleanup and refactoring and testing.  Arrays are solid,SAR
refactored method names inside the entity config,SAR
Huge refactor of how SetupTeardown proxy talks to the nodes before during and after session. This should prevent a lot of thread locking when video start/stop/update happens.,SAR
Refactored some interfaces and abstract classes,SAR
minor refactor to put the language POJOs into a separate package,SAR
Remove more deprecated methods and refactor them out of existing code,SAR
Make chunk size an argument. Default is -chunk_bits 24 -> 16MB.,nonSAR
Also handle application  image  video  audio content parts,nonSAR
TAJO-746: Implements function COALESCE. (hyoungjunkim via hyunsik),nonSAR
Assure ResponseHandler is called once and only once,nonSAR
Cleaned up unit tests and @should in OrderService,nonSAR
OFC-736 Check all schema objects name uniqueness in context,nonSAR
BT ingest: write everything at the end of ingest.,nonSAR
Comment-out failing test.  See bug #1600.,nonSAR
backed out stupid experiment,nonSAR
KARAF-424 use maven 3 dependency resolution using aether. Require maven 3,nonSAR
mogelijkheid om text/html te specificeren,nonSAR
NXP-14879: impl getAggregates results,nonSAR
Allow `new URL(String)` with nested JARs,nonSAR
ACCUMULO-3599 Get (un)secure ITs running against mini/standalone,nonSAR
Updated all modules to new api  some settings are still missing,nonSAR
HttpClient resource management API made compatible with Java 7 'try with resources': HttpClientBuilder to return CloseableHttpClient and CloseableHttpClient to return CloseableHttpResponse objects which implement java.io.Closeable; made ClientChainExec interface and related classes package private,nonSAR
QPIDJMS-191: initialise the SslHandler before the connect attempt begins  ensures certain config issues fail fast without attempting a socket connection,nonSAR
clean-up warning view; make sure list re-inits on grid switch,nonSAR
migrated/corrected use of ServerConfig,nonSAR
Cleaned up some errors in voice import and related classes,nonSAR
"PDF geht auch... -> Testbutton als Lehrer unter Klasse ""Passwortliste...""",nonSAR
Straightened out ValueSerializer and ValueComparator,nonSAR
Expose endDate and startDate properties of TaskElement as IntraDayDate,nonSAR
commit step 1 of YQL switch,nonSAR
Balancing tests pass for a single page.,nonSAR
Parameters of translation are a collection instead of an array,nonSAR
CAMEL-2357: when using mocks you can not decide whether its when received or done for more fine grainend control.,nonSAR
matching the new db schema in the code,nonSAR
BZ1269333: Result of searching Assets in Business Central's 'Full Text Search' includes duplicate records,nonSAR
slowly upgrading everything for XDI2 library..,nonSAR
Core module in org.kercoin.magrit.core,nonSAR
Asynchronous annotation,nonSAR
HBASE-7462  TestDrainingServer is an integration test. It should be a unit test instead (Gustavo Anatoly),nonSAR
Reimplemented alternative costs a little (converted to interface),nonSAR
Starting new Atom Protocol impl,nonSAR
Load resoureces from classpath when using JUnit  load them from filesystem when using CLI,nonSAR
[SPARK-8673] [LAUNCHER] API and infrastructure for communicating with child apps.,nonSAR
SONARJAVA-1889 Raise issue when accessing null array (#1040),nonSAR
Einfache Zeitverwaltung anhand von Audiobeiträgen erstellt (Basis für kommende TimeLineElemente) (CRUD Operationen),nonSAR
Reconciler provides cached AST if possible,nonSAR
JBPM-5530 - Combine new forms API into jbpm-wb-forms modules (#606),nonSAR
Flow for group management,nonSAR
ItEr33S14CUCreacionUnidadesPlanificacion: When a task constraint is violated  it's notified to the task component,nonSAR
PropertiesUtils now support traversing.,nonSAR
Let us default to ALL when no keys are specified,nonSAR
/Show off to make everyone jealous  or whatever,nonSAR
Support Dropbox oauth2,nonSAR
make test more easy,nonSAR
SWITCHYARD-590 messageComposer setting ignored on Camel composite service bindings.,nonSAR
Wallet: expose the calculateAllSpendCandidates method as public.,nonSAR
More refactoring  Schimmy implementation.,SAR
refactor cards to use supertype enum,SAR
refactoring : move audi behaviours into the audit subpackage and interceptor to aop subpackage,SAR
Begin refactoring SymbolTableEntry,SAR
Refactor code to make it more flexible and easier to understand.,SAR
Massive refactoring of the cache loader strategies,SAR
Refactored MessageBox  adjusted code to match new formatting guidelines,SAR
Refactored message transformation into reusable class,SAR
Fixed a bug in Extract Function refactoring.,SAR
Finally refactor Initializer away.  Cleaned up CollectorInterface and CollectionSet just a little,SAR
Refactored code.,SAR
refactored programs related to template builder,SAR
core:refactor: Refactor code to be reused in future patch,SAR
Refactor Main test class to have higher abstraction,SAR
Emails Refactoring    - Creates Messages at Vigilancies instead of Emails    - Changed createNewRecipient to newInstance (name convention),SAR
rename and removing routes refactored,SAR
refactoring done:  Now is possible to redefine serviceArgs...,SAR
refactored project structure - api moved to impl  folders renamed,SAR
refactored the split tests to remove code duplication,SAR
Refactor SyncBeanManager to use type names and not types themselves for lookups.,SAR
More refactoring of dynamock package,SAR
EMBRYO-22: more package refactoring. Also enabled AIS feature for dma user again. ,SAR
Major refactoring of FormModel related code: * Reorganized interfaces and implementations * Reorganized package structure * Improved JavaDoc * Introduced validation abstraction * Removed dependency on Rules for validation * Dirty tracking now works for unbuffered form models * Dirty tracking now fires property change events * Revert now works for unbuffered form models * Improved unit test coverage to about 80%,SAR
minor test refactorings for type-related tests,SAR
Minor change: - refactored some code about the deletion method and its validation  to give more explicit messages and reuse code,SAR
[refactoring] Separate in more methods to make easier to use for different use cases,SAR
*renamed packages structure *refactoring *connecting setup and serverSocket,SAR
Refactored to make it easier to test with multiple MQTT client providers,SAR
Refactor database helpers to work with history,SAR
refactored common helper methods for working with cxf into a cxf-utils helper jar,SAR
refactor persisting code into the provision service,SAR
Refactored listeners into separate package,SAR
Refactoring core package naming to make function more obvious.,SAR
big refactoring including data set based plugins  adapter first approach;,SAR
Reflecting the user interface refactoring in the rest of the code base.,SAR
Refactor the CustomerStateRequestProcessor to use the session-based customer until that Customer has been persisted. Once persisted  the Customer is removed from session and on subsequent updates the CartState is also refreshed.,SAR
Refactored Message to have a subType property Made getType and getSubType abstract in Message Implemented getType and getSubType in ChatTextMessage Made RosterMessage abstract and implemented getType to return 'ROSTER' Created RosterAddedMessage  extending RosterMessage and implementing getSubType to return 'ADDED'  also added a userName property Created RosterRemovedMessage  extending RosterMessage  and implementing getSubType to return 'REMOVED' Created RosterContentMessage  extending RosterMessage  and implementing getSubType to return 'CONTENT' Refactored PresenceMessage due to Message refactoring Refactored ConcreteConversation to implement new roster message types,SAR
refactored a whole bunch of the foreign source and requisition stuff around to use the new Requisition object in place of the ModelImport object,SAR
Refactored BearScript - now script is run in a single thread for each session (draft).,SAR
Refactoring of packages structure for managed beans.,SAR
refactoring of hermes classes Public API for JMSConnectionHolder can be used in groovy to access queues and topics,SAR
refactor method name,SAR
o code refactoring o changed error message to debug o improved error messages,SAR
Correction after refactoring Rest service method,SAR
refactorings wegen geänderter packagestruktur,SAR
Refactoring of filters to make better use of inheritance hierarchy.,SAR
Refactor (simplify) interfaces,SAR
cleanup  refactoring,SAR
- refactored packages to minimize package cyclic dependecies - removed XmlConditionConfigurationException -> use XmlConfigurationException instead,SAR
- Big refactor of the QuickJournal:   - Move it to it's own package org.apache.activemq.store.quick   - Brought in all the latest JournalPersistenceAdaptor enhancements   - It now uses the AsyncDataManager as the Journal implemenation which has better rea,SAR
Simple  but better color dialog.,nonSAR
Linked file support  experimental proxy support,nonSAR
CAY-1452 EJBQL query scalar result is not supported,nonSAR
relocate little method,nonSAR
[MRM-430] configuration adjustments and tests,nonSAR
classifying tests 12% I still need to work on handlers,nonSAR
updated distribution configuration,nonSAR
HBASE-2353. Batch puts should sync HLog as few times as possible,nonSAR
JC-2141 Different unsubscribe links depends what entity user subscribed for,nonSAR
backing out of the resource manager idea and reimplementing the old gc chain for 1.0,nonSAR
starting to use wro4j native xml parser,nonSAR
remote-kie-tests: COMPILING,nonSAR
Make LoggerStubFactory more versatile.,nonSAR
Obey the -Dandroid.device=... and <device>...</device> parameters for all adb commands.,nonSAR
