Commit message,Class
"Fixed compilation problems - missing dependency for interpreter project. Further implementation of switch statement (""defaultcase"" can be located in any order among case statements).",code smell
Removed dead code.  Moved generic read and write methods to FileReader  FileWriter. ,code smell
move some duplicate code in a common place,code smell
Now the compiler supports a switch statement.,code smell
Removed: dead code; increase testing,code smell
"Extracted the administrative methods from the services and into a separate ""ServiceAdministrator"" component.  The use of composition rather than inheritance allows each service to reuse the service management functionality without having to extend a base class.  ",internal
Make bitcoinSerialize() return a copy by default  provide an unsafeBitcoinSerialize() method for high performance applications that are willing to deal with the extra API complexity.,internal
tightened implementation of the abstraction of the graph configuration.,internal
Fix bad URL rewriting during CSS inspection when nut comes from heap composition.,internal
inheritance of namespace declarations for nested bundles,internal
Fix for query parameters deserialization with remote connection Fix for ObjectDatabase automatic OClass generation and inheritance Fix for ObjectDatabase in version field conversion,internal
Introduced Datastream abstraction for use with DatastreamService,internal
Working on drivers for Plink's MAP and PED formats. Added a helper function to count the number of trailing newline characters at the end of a file to correctly get the number of elements. Restructured into packages. Introduced class 'Biallele' for the data types. Applied inheritance to data types to avoid duplicate variables.,internal
added metadata abstraction,internal
BLC-799 : When setting up a datasource with a ceiling entity that is not an interface  the inheritance hierarchy can be incorrect. (cherry-picked from 785dd2c),internal
expaning writer abstractions  refactor packages  removed unused,internal
CAS-1116 Refactor KryoTranscoder to use an initial buffer size and add explicit buffer overflow protection to handle what should be edge cases with proper buffer sizing.  Also  correct improper usage of ByteBuffer#array()  which caused entire backing buffer to be stored in cache instead of just used bytes. Unfortunately the fix requires byte array copying with the resulting object allocation overhead.,internal
cleanup of Encapsulation class,internal
Refactored to use annotations instead of inheritance.,internal
Added Peer inheritance in comm. tests  user-defined CommAddress,internal
Reduce size/complexity of app.js serialization (#959),internal
Browser should open to maximum size by default,internal
[KARAF-831] Added cluster:group-pick command. Also added output suppression support for all group commands. This is really useful for command composition.,internal
JaxbCollection: Renamed size to maxLength,internal
webadmin: Edit/Remove Template & VM abstraction (#748413),internal
SPR-6093 - MVC Annotation Inheritance,internal
Remove uneeded abstraction,internal
Issue 176: size can now test compatibility with images; refactored vcloud config logic; updated to support latest bluelock,internal
Added a layer of abstraction  to make it easier to insert a new ScriptEngine,internal
SONARPHP-613 Improve ClassComplexityCheck,internal
IDE-943: added abstraction to make IContentAssistCalculators independent from WTP's internal classes,internal
major overhaul of the JavaDoc mechanism to support JavaDoc inheritance,internal
undid generic DocumentAccessor due to unnecessary complexity,internal
Tighter coupling of subscription expiry logic with other subscription management. The previous implementation could detect an expired subscription  allow another client to subscribe to it  and then stop the (now active) subscription.,internal
Refactoring of SlidingWindow class in RR to reduce complexity and fix important bug.,internal
Fixes #216 Interceptors do not support Entity inheritance,internal
Minimize transient garbage volume by optimized serialization based on the 'Kryo' library * AutoKryo     extension of Kryo to allow classes to control their own registration  trigger registration of associated classes  and deserialize classes without no-arg constructors * KryoBinding     binding for use with BDB that uses AutoKryo serialization for a 2X-4X reduction in byte[] size * UURI     improved serialization via Externalizable and Kryo's CustomSerialization methods * BdbModule     discard deprecated CachedBDBMap option     (getObjectCache) extend with both declaredClass and valueClass (for when map values are specializations of the declared type  as with frontier.allQueues)     adjust type declarations * ObjectIdentityBdbCache     use KryoBinding rather than SerialBinding * CachedBdbMapTest     discarded * BdbFrontier  BdbServerCache  StatisticsTracker     adjust type declarations  objectCache creation * BdbMultipleWorkQueues     use KryoBinding rather than (Recycling)SerialBinding * BdbWorkQueue  CrawlServer  CrawlHost  CrawlURI     add autoregister support * LinkContext     public for kryo registration  ,internal
Uses DEV_NULL instead of SYSTEM StringLogger in many places  as well as abstractions instead of printStackTrace() and such. This greatly reduces amount of logging to the console when running kernel tests.,internal
finalized functionality and tests,external
* In alignment-to-text  tsv or tsv-single-base output there was a column for score but no header. added header. * For the QueueObjectPool  made a more generic interface and added a Null version that always creates new objects. This can be used for performance comparisons. * Added another layer of object abstraction GobySamRecord which contains one or more GobySamSegment. Things that exist for the entire read are stored in this object and the parser returns a GobySamRecord instead of a List<GobySamSegment>. This is easier to understand and models the data better. * Discovered a minor error with GobySamSegment sequence variation generation * Added tests from seq-var to verify seqvar during clipping  indels  etc. Make sure gsnap->sam->GobySamParser gets the same output as gsnap->compact-alignment->display-sequence-variations which enabled me to find one more issue with gsnap->compact-alignment seqvar generation related to soft clipping.,external
Introduced Miner level child injector for miner based singletons and other sub-application super-device functionality,external
Improve performance of MessageSource condition,external
"Added ""delete candidate sessions"" functionality",external
changing CreatedResources to be a Map indexed by key to make lookup easier based on creatable definition includes: - updates to all the tests and samples affected by this - tested and passing - some cleanups of the affected samples for better efficiency  simplicity and coding patterns - simplification of the CreatedResourcesImpl,external
improve logging to capture some simple rules and thresholds to indicate performance issues,external
Fix the ted bug 18097 : Performance enhancement:  DTE should use ArchiveEntryInputStream.read() when reading only one byte data from report document,external
Fix #792 : JUnit 4.12 compatibility,external
change performance testcase  add proxool/tomcat-jdbc,external
Implement cascading functionality for triggers,external
releng: Make use of Tycho POM-less functionality,external
"Revert back to the package name ""org.kohsuke.stapler"" to avoid backward compatibility issues",external
Bug 268916: Support genReport -help to show help document in command line Bug 268915: [Accessibility]Provide engine supported optionName/configName list in genReport help,external
performance enhance,external
Improved Keyboard stability and performance (#1239),external
rename parameters for readability,external
Removed performance monitor as it is unneeded and didn't work  Made a Game interface for the API  Added a chat perm,external
Moving functionality to client. Some parts are in stub form  some are not done yet. Xml parsing is in flux,external
added Join operations to Criteria; modifications to increase JPA performance; upgraded to latest eclipselink - rjrjr,external
the processOccurence method is splitted into two for better modularity.,external
moving compatibility tests to another project so they can be shared,external
Started cleaning up modules - introduced a 'lang' module for shared functionality.  This might even make its way back into core - just flushing out things at the moment.,external
CLEREZZA-511: improving performance without changing the public api as the issue suggests,external
Fixed a performance bottleneck in adding ids to RelIdArray,external
[CXF-3675] Add a classloader based map of DocumentBuilder instances in DOMUtils to improve performances when building documents. This also restores the former behaviour  with the DocumentBuilder being cached in DOMUtils.,external
Refactored messy UI setup into named methods  renamed variables  general cleanup for readability.,external
SCHEMA-37. Adds stability annotations to all classes.,external
Bug 298671 Implement enough compatibility to bring up a simple view,external
Performance improvements:  - Memoized MathUtil's cumulative binomial probability function.  - Reduced the default size of the read name map in reduced reads and handle its resets more efficiently.,external
improved performance of builder by removing child injector,external
refactored cycle API  added RenderInfo to provide standard set of available views for plug-ins  changed the content-type definition by using a mixin interface to add extensibility to the set of standard content-types  refactored API according to these changes  adapted the UI/REST component accordingly,external
Make bitcoinSerialize() return a copy by default  provide an unsafeBitcoinSerialize() method for high performance applications that are willing to deal with the extra API complexity.,external
Renames the ComplexData classes that will be kept.,code smell
Refactored dead code elimination,code smell
Refactored to use a sensible MantaMetadata class.,code smell
Refactor and removal og duplicate code.,code smell
got rid of some duplicate code in the Goal classes,code smell
" - Merge changes from Pull-Request #6 	 - Fix aggregation generation and cleanup dead code  - Update dependencies versions",code smell
Documented depositSchemaProperty  and refactored duplicate code into a single method within BeanSerializerBase,code smell
"DelegatingPreparedStatement extends DelegatingStatement DelegatingCallableStatement extends DelegatingPreparedStatement => refactoring to remove duplicate code & other general cleanup => getDelegate methods changed signature (return always ""Statement"")",code smell
More style stuff; use \n line separator always  unify use of log placeholders  fix unit tests that weren't cleaning up files (MAHOUT-217)  remove dead code  redundancies  etc.,code smell
ISIS-993: factored out LayoutMetadataService  renamed the metadata classes,code smell
fix duplicate code,code smell
Updated test method names to new API of data classes,code smell
improve test coverage of ParseableQuery and LuxQueryParser; removed some dead code,code smell
refactoring long method hadleException,code smell
NetCDFReader code to be moved into ExperimentalData class,code smell
Remove dead code and optimize boolean filter,code smell
engine: Moving Duplicate Code to Base Class,code smell
"MATH-389 Duplicate code in ""MultivariateRealOptimizer"" and ""DifferentiableMultivariateRealOptimizer"" moved to new interface ""BaseMultivariateRealOptimizer"". New ""AbstractScalarOptimizer"" superclass allow implementations that do not use derivatives. Deprecated ""protected"" fields. ""NonLinearConjugateGradientOptimizer"" changed to make use of the newly added accessors instead of the ""protected"" fields.",code smell
JCLOUDS-826: Add blob operations,code smell
Removed duplicate code.,code smell
Changelog updated and make MetaData class compile,code smell
Removed dead code since DegreeCurricularPlans and StudentCurricularPlans now always have a root group.,code smell
Added new Query Parameters for Content Spec searching. Cleaned property tag code to remove duplicate code.,code smell
Moving setValues() into deserializer as logic shouldn't be within data classes,code smell
Refactored duplicate code into separate method.,code smell
refactor (move duplicate code up),code smell
refactor some duplicate code,code smell
-Refactored Robot's data class -Added logic to find winner,code smell
Got the first bits of vision working for homing Moved some code around Deleted some dead code,code smell
Moved data classes to a more suitable package.,code smell
Refactor the KeyOutWriter and DailyKeyOutWriter to create a slf4j logger. Remove duplicate code from DailyKeyOutWriter. Add the ability to create a Logback based out writer with size and time based rolling and with no filename on rollover. Update slf4j to the version used by Logback.,code smell
Remove duplicate code by making hierarchy between Indy and Basic interpreting visitors.,code smell
test the default case on the switch statement in tokenComments,code smell
fix configuration abstraction for c + tests + minor fixes,internal
XWIKI-11460: Allow filesystem skins to indicate a base skin * better handling of cross inheritance,internal
New tests and fixes - inheritance  injection,internal
Complete LUP decomposition with pivoting,internal
more code cleanup  exporter is now even simpler due to composition,internal
Reduce complexity of tool framework,internal
Created ValidationEventHandler which allows the xml file to be validated Validates xml files before they are unmarshal Added an additional method to auto find a elementMass file in default location Generated the schema for aminoacidcomposition.xsd Change the XML file structure such that the element weight is directly recorded instead of computed Remove all the test cases for the computation of the abundance. Successfully generated an XML schema for ElementMass.xsd and AminoAcidComposition.xsd Remove abundance from ElementMass.xml,internal
Support for scale relations and checking them in coupling,internal
Break apart the inheritance structure of the timeline into Timeline and MessageListener.,internal
allow inheritance of @UseModules,internal
more inheritance testing,internal
Added popups. Introduced page-level abstraction called container for pages and popups.,internal
Bug 497008 - java.lang.StackOverflowError or eclipse crashs when using Quick Type Hierarchy and Open Type Hierarchy on cyclic inheritances,internal
Dump sample for Mysql  file size request  file size printing for dumps.,internal
bug #5154 : incorrect sender for pdc notification - taking the opportunity to fix a little problem around the footer of the mail sent by delayed notification mechanism - refactoring the inheritance of created PDC user notification classes and renaming them in order to be homogeneous with the existing ones,internal
continued cleanup  made tables joined inheritance and matched nullable/sizes,internal
HIVE-1631. JDBC driver returns wrong precision  scale  or column size for some data types (Patrick Hunt via cws),internal
[C#] Updated complexity distribution computation,internal
major reimplementation of list and combobox binding dynamic filter and dynamic sorting is now fully supported through java.util.Observable. selectableItemsHolder replaced with selectableItems property to support any selectable collection type like ListModel  Collection  List  ValueModel (containing a collection type)  Object[] or Object (single selectable element) reduced complexity of ListBinder/ListBinding. Collection type for selected items is now determined from propertyType including single selection and multiple selection ListBinder and ComboBoxBinder now supports the definition of preset values for selectableItems  filter  comparator  editor (only ComboBox) and renderer to support further customizing ,internal
Removed the obnoxious size pair and replaced it with two ints. NEW - # 348: Provide a TileStore implementation for accessing remote WMS instances  http://tracker.deegree.org/deegree-services/ticket/348,internal
StewartSingularValueDecomposition: re-factor monolithic code and ugly switch statement into multiple methods,internal
Enhanced tool palette composition functionality. Added Morph Activity/Gateway features.,internal
Refactor Main test class to have higher abstraction,internal
SONARJS-509 FunctionComplexity: ignore AMD pattern and IIFE,internal
Common abstraction of DockElement  DockTitle and other elements representing Dockables,internal
Adding a notion of a graph composition  which is a series of GAV-sets each optionally paired with a filter that can be combined through some calculation (optionally) like add  subtract  intersection...then allow the RepositoryOps recipe to use that for complex recipes. Also  add the preset factories from aprox-depgraph (integration with cartographer) here so we can use them in embedded mode if we want.,internal
remove @JsonIgnore  remove inheritance of KillBillObject (auditLogs) and refactor worng property names for json building,internal
reworked groups (again!); now inheritance works,internal
Major refactoring of FormModel related code: * Reorganized interfaces and implementations * Reorganized package structure * Improved JavaDoc * Introduced validation abstraction * Removed dependency on Rules for validation * Dirty tracking now works for unbuffered form models * Dirty tracking now fires property change events * Revert now works for unbuffered form models * Improved unit test coverage to about 80%,internal
"[BACKLOG-4709] - Small changes in platform to improve performance - UserSettingService    - replace keySet() + get() combination with entrySet()    - remove useless object instantiation    - remove useless explicit map.remove() - AbstractSpringPentahoObjectFactory    - add logger.isDebugEnabled()    - remove useless non-null validation - OrderedApplicationEventMulticaster    - replace ArrayList with array for faster sorting    - extract stateless Comparator to a final field to avoid useless instantiation    - replace new Integer.compareTo() with Integer.compare()    - add tests - RoleAuthorizationPolicy    - create ArrayLists of exact size - JcrRepositoryFileAclUtils    - iterate through List  not Set - DefaultPermissionConversionHelper    - replace indexOf("":"") with indexOf(':') as it is more effective - AuditConnection    - change the order: first try to obtain a connection and only then sleep",internal
Implementing code review comment from r428: Using Polymorphism for exclusion strategies for expose annotations.,internal
Added test case to ensure inheritance and properties work fine,internal
[bs-15] Integrate audit abstraction into Spring Security setup,internal
Fixed problem with Axis reusability and priorities  included UML diagrams.,external
RHQ-1315 - subsystem view for alert definitions   implemented all functionality listed in corresponding description of JIRA; ,external
Java 7 source compatibility updates,external
Allow user add throughput to performance charts,external
ISIS-109: fixes for json viewer (compatibility with spec),external
Get password history data gui and backend service/dao functionality added  get password access audit log gui and backend service/dao functionality added  added ability to change max history on password edit screen  password search panel grid action is double click cell again  upgraded to Ext GWT 2.1.0 (dialog box field focus now works!)  tested integration  fixed bug in edit permissions access level combo box gui caused by Ext GWT upgrade.,external
Removes untyped App.get() method to avoid performance problems in large databases due to unsupported relationship indexing in Neo4j.,external
removed ambiguous relations finder since its functionality overlaps with the SKOS S27 integrity condition already checked by SkosReferenceIntegrityChecker,external
Bug 298671 Implement enough compatibility to bring up a simple view,external
Start with testing activiti 5 unit tests with activiti 6 engine for backwards compatibility,external
ISIS-993: improving the usability of the schema; minor stuff for wicket components,external
"Factored out ""center"" functionality from showFrameCentered functions",external
Adding let inlining test cases to show difference in behavior between var and let. Part of ES6 compatibility for Inline Type Aliases (full functionality + tests not yet complete).,external
Minor Change: Transfer second cycle applications to other period functionality,external
[DS-247] [DS-243] [DSB-37] extend functionality of ContextUtil so request object can be used as parameter.,external
Performance optimizations for Genotype field decoding for GT field,external
HIVE-15076: Improve scalability of LDAP authentication provider group filter (Illya Yalovyy  reviewed by Aihua Xu  Naveen Gangam),external
Added functionality to capture execution information about the methods under test. This is useful for generating new reports.,external
use person POJO for reflection performance showcase,external
"[MONDRIAN-2390] - Poor performance when accessing RolapSchemaPool from many threads - replace ""synchronized"" sections with ReentrantReadWriteLock-embraced - increase the amount of cycles in the concurrency test to make it more exhaustive - add one more test case",external
refactoring for better readability,external
1) Added server.http.parallelthreads= entry to marybase.config to set the number of parallel http request handler threads. 2) Commented marytts.server.http.handleClientRequest code. 3) Changed random request id generation into consecutive id generation for http server. 4) Fixed beQuiet functionality in MaryHttpClient.,external
Improve JAX-RS stability and move to WildFly 9,external
Refs #100331 Add test for ContentName print (toString) performance.  Fix name of parse performance test.  Fix parse performace so no overflow if it gets faster.,external
Fixed missing IdManager  improved delete performance.,external
Added logic to determine the proper twiML file for different use cases. Added abstract Request class for common Request functionality.,external
Completed test for verifying correct functionality of distributed cache.,external
Done refactorings to solve https://bugs.eclipse.org/bugs/show_bug.cgi?id=342692 (inline of MeasurementUtil functionality to MeasurementOperator),external
Restored functionality of DrugGroup. There are no related JUnit tests yet.,external
- Summary: [Enhancement] problems with usability of chart designer,external
Added a compatibility mode for the PHP framework Symfony.,external
implement the previous functionality  where a separate refreshChildren method gets called only for the browsed folder  and not for the parent nodes.,external
Fully implements core ModelService functionality,external
Removed duplicate code and put it in a function,code smell
Refactoring to remove duplicate code,code smell
Refactored duplicate code into separate method.,code smell
Refactored: replaced BigInteger with EntityId  to solve Primitive Obsession,code smell
DATAGRAPH-564 - Rewriting SD-commons classes to be based on default abstract implementations. Deleting lots of dead code and cleaning up class dependencies.,code smell
fixes #743 made data classes final,code smell
SOC-890 | Improve Code quality - avoid duplicate code,code smell
Camel forge command - Align the duplicate code we have for add/edit endpoint options to use same class.,code smell
Remove dead code related to Elasticsearch utilities,code smell
WFLY-4303 Allow expressions in jboss-ejb-client.xml remove duplicate code and allow expressions for all versions of namespace,code smell
Tons of dead code,code smell
Some refactoring to lessen class dependencies  reduce number of parameters and duplicate code,code smell
Lots of refactoring and stripping out dead code. Removed the code dependency on the deprecated EAWT methods Renamed packages and introduced new ones to properly segregate the areas of concern. Added support for preferences.,code smell
OGM-146 Simplify PackagingRule  second pass: removing dead code,code smell
"Refactored the Thymeleaf implementation All abstract processors now contain utilities to facilitate the creation of processors Added new processors allowing to write a ""configuring div"" inside a template  just before the table tag. This div allows to configure: exports  callback  extraFile and configuration properties. Comments updated/added in almost all processors Renamed some processors for the sake of consistency Removed all processors related to export and callback (now handled by the new ""configuring div"") Removed dead code Updated integration tests with the new features and cleaned all test templates Closes dandelion/issues#161 Closes dandelion/issues#201 Closes dandelion/issues#202",code smell
Added StandardTestData class which contains UUIDs of metadata from standardTestDataset.xml Added AbstractPatientWrapper,code smell
Encapsulate core raw + derived data into SlimData class.,code smell
cleanup  delete dead code,code smell
A bunch of inspection changes  including some dead code removal and tightening visibility  removing unnecessary casts,code smell
#305 Modularize logic / separate from data classes (wip – doesn't compile),code smell
Minor fixes: Removed dead code  fixed variable names.\n Also  using normalize method of WeightedIntDocVector when building weighted int doc vectors. We should do the same change to other places in code where there is normalization.,code smell
EMBRYO-40  EMBRYO-49  EMBRYO-28  EMBRYO-29: cleanup of dead code,code smell
prevent too much duplicate code beetween Maven2 and Maven3 ProcessFactory,code smell
[PAXURL-242] removed duplicate code,code smell
[duplicate code] Unify scheduling of merge jobs,code smell
[dsx] fixed fields for data class for getOrderStatus method,code smell
Now DocumentHandler uses DocumentProducer instead of duplicate code.,code smell
Major refactoring to remove duplicate code detected by Simian. Just demonstrates the power of the tools for find code that needs refactoring.,code smell
Refactor duplicate code into a method.,code smell
Remove dead code from method visitor and method helper,code smell
REPLACED log4j2 logger with slf4j/logback REFORMATTED code to align with general code formatting guidelines REFACTORED some code with lambda expressions and some duplicate code with method or object replacements,code smell
removed duplicate code by adding a public getPropertiesFile method to obtain the File,code smell
MongoStore: Refactor to avoid to long methods,code smell
Removed complexity.,internal
more refactoring towards a cassandra abstraction,internal
Adds base api support via single-inheritance interfaces,internal
Refactoring of filters to make better use of inheritance hierarchy.,internal
Clean up Navin's abstraction over Hibernate Core  clean style issues  apply back changes from my original fix patch,internal
Throwing out the Key and Value classes for now to reduce the overall complexity,internal
Refactor People Project & Inheritance Projects,internal
ROO-2018: Roo 1.1.1 does not support inheritanceType TABLE_PER_CLASS with GWT 2.1.1,internal
adding valiation to Jaxb. Replacing strings with statics. correcting the composition of the specicmeasures xml,internal
Added abstraction to messages  to contain senders ip. Necessary to determine which slave message comming from at master  but also used to provide masterIp at slave's initial setup,internal
created sketch of type handling removed unnecessary abstraction reuse for declaring type,internal
Refining HttpServiceProxy abstraction.,internal
Reduce move generator complexity,internal
Changed JOhm persistence paradigm to JPA-like from inheritance-like to make API use annotation-driven and minimally-invasive.,internal
#135:  Comments InheritanceCompatibilityChecker,internal
More abstractions in Adapter pattern + exercise for Bridge pattern,internal
EST-76: more decoupling (asset from lease),internal
first steps to refactor the database layout code to use class inheritance,internal
Semantin analysis decoupling Integration with prototype e4 DI integration New extension point,internal
[PLAT-2500] Initial work on dynamic composition of market data providers,internal
SONARDOTNT-49 Replace complexity distribution by class -> by file,internal
Renamed TrafficCompositionInputData to VehicleTypeInput to more closely correspond with the XML element name.,internal
Start to build BWT abstractions  so we can present a reasonable facsimile of the BWT to the user no matter how it's represented on disk.,internal
fixed inheritance recursion,internal
Reviewed by tlerios  Colin & Will per ENG-508 1. Added 2 new constructors to ExpectedFailure. one default and another one that accepts I18NBoundMessage. Updated all usages of the single arg constructor with a null value  to prevent compilation errors. 2. Added a mechanism to abstract out instrument specific functionality into pluggable classes. All the instrument functions in this checkin are abstracted out except for XML serialization  which requires the specific Instrument classes to be included in an annotation. 3. Added new option position APIs & option symbol <=> option root lookup APIs to the client. 4. Added pluggable mechanism to extract & insert instrument from / into FIX messages 5. Updated PositionKeyComparator to use new pluggable mechanism for position comparison 6. Updated orderloader to support options 7. Removed OptionSymbolSplitterMessageModifier & its unit test as it doesn't make sense for options any more. 8. Updated ORS to save the fields for options for position computation. Added implementations for the new client services. 9. Updated FIXConverter and RequestHandler to add a particular FIX field to the message only if it is supported for the specific message. 10. Added OptionRootUnderlyingMap abstraction to the ORS for carrying out option symbol to option root symbol mapping. 11. Fixed an issue in the suggestions view that was preventing the photon strategy perspective from opening up.,internal
update web-core:com.silverpeas.sharing package - Update NodeAccessControl in order to make CDI works - Update JPA model for subclass Entity inheritance purpose,internal
* Added more to the end2end spike * Created some concrete Phase classes * refactored/renamed phases * removed BasePhase to encourage loose coupling * removed dependency on spring from events module,internal
CAY-795 Horizontal inheritance,internal
Refactored event listening  fixed group invalidation  fixed inheritance of rights from main wiki  added unit test.,internal
Multiple code improvements - common-java:DuplicatedBlocks  squid:S00112  squid:S134  squid:MethodCyclomaticComplexity  squid:HiddenFieldCheck  squid:S1172,internal
Added new CManager class and started basework for manage AI. Modified Player and Person class inheritance.,internal
Don't allow inheritance in glue code (stepdefs and hooks). Also fixes #257 in a more encapsulated way.,internal
more abstraction in scheduler,internal
DNA-178: Completed basic functionality to  retrieve nodes and properties,external
Performance improvement :  client rest api change,external
"Revert ""Mercurial Integration is now done with java native library hg4j. Refactoring to clean up the code and to allow easy adoption of other java native libraries in the future. Some unit tests added and classes moved to dedicated packages for better maintainability""",external
[WFLY-8561] fixing test for @RunAs functionality which was ported from eap5 testsuite (JBPAPP-7897),external
Split the loader functionality in 3 classes - now need to sort the tests out to match (not TDD  but quicker this way),external
more rep functionality  fixes for mandelbrot,external
Add goog.reflect.objectProperty as a first class primitive with the same functionality as JSCompiler_renameProperty.,external
Remove write functionality from Source.,external
Trying to fix incompatibility of handlings png on Windows and Mac (second try),external
1) Compatibility with Java 1.7_17 2) Better build.xml - now dist includes necessary resources and javadoc and CLI.,external
YARN-2980. Move health check script related functionality to hadoop-common (Varun Saxena via aw),external
applied patch from Marc Portier to improve extensibility of DefaultApplicaitonWindow/LifecycleAdvisor,external
FACES-1358 Develop JSF1 <-> JSF2 compatibility layer (Add support for detection of JSF 1.x request headers),external
The performance enhancements may conflict with some setting methods. Uses the ActivityStackListener to clear the cache flag.,external
#10  #17  #18 Improved test coverage  fixed test cases and bugs revealed by tests  increased performance and improved visitors,external
Dramastically increase performance Maybe fix low tps :O,external
move compatibility checker exception for making it compatible with exomiser!,external
DRILL-4328: Fix backward compatibility regression caused by DRILL-4198,external
WICKET-4028 Improve PageInstanceMapper#getCompatibilityScore() to return higher value if the request starts with 'wicket/page',external
MAHOUT-706 use reusable TokenStream in Lucene for performance,external
"Reassembled the ""startlistfile"" code - the pieces were in there for the most part. However  using a small startlistfile within an iterative process (other than at the very end of one) is liable to lead to inefficiency downstream with -incrementaldocvectors  as currently we depend upon there being perfect alignment between the generate docvectors.bin and the documents in the Lucene index - i.e. we will end up with many zero vectors on disk. ",external
CAMEL-4417 Move AsnycProcessorTypeConverter.convert method to processor while keeping the old one for compatibility,external
refactor to prepare performance improvements,external
Rename directory to better reflect functionality.,external
add pojo metadata caching  optimized sql2o performance test  underscore to camel case performance tests,external
did not like the fact that the method was getting big; refactored my logic to a private method to increase readability,external
 Bug 233643 -  API builder performance bad for incremental build,external
Bug 353240 [Compatibility] IWorkbenchWindow's openPage(String  IAdaptable) is not implemented correctly,external
MassiveCore - Performance improvement for command argument readers.,external
Added some performance testing,external
Refactoring of DSS and Definition  for performance,external
Minor performance improvements.,external
cleanup; added functionality to select on collection associated fields - rjrjr,external
Refactoring of core data classes. Implementation of RefactoringRegistry.,code smell
- removed a small piece of duplicate code in QuerySet#get,code smell
ReplacedBlock data class,code smell
minor refactoring to remove duplicate code,code smell
Remove some dead code. ------------- Created by MOE: https://github.com/google/moe MOE_MIGRATED_REVID=103318387,code smell
removed duplicate code  decrment jar size,code smell
Duplicate code gathered in one location.,code smell
Various refactoring & renaming  and JUnit tests. Added surefire and cobertura to the maven pom. Removing dead code and adding Asserts to the mix.,code smell
[BISERVER-7317] More test cases  javadoc and some dead code removal,code smell
HBASE-14203 remove duplicate code getTableDescriptor in HTable (Heng Chen),code smell
Refactoring: moving ExternalSensorDescriptor and MeasurementLevel to better packages  deleting dead code,code smell
"Added some unit tests (and removed a bit of dead code) to boost our coverage over 80%;  	found one bug in SaxonTranslator w/treat as in the process re-orged the documentation",code smell
MODE-2629 Fixes the issue with too many parameters for the IN clause This commit changes the queries that get sent down to the DB so that when the number of parameters exceeds a certain limit  the IN clause gets broken down into multiple IN OR IN clauses. It also adds Docker support for the modeshape-persistence-relational module so that low level DB operations can be tested against different DBs.,code smell
core: long method refactor,code smell
rename appData to applicationData - rename appId to id - move applicationData class to internal package,code smell
TEZ-444.  Rename *.new* packages back to what they should be  remove dead code from the old packages - mapreduce module (part of TEZ-398). (sseth),code smell
convert to switch statement; added document and comment node constructors,code smell
